pw_name,pw_category,pw_short_desc,pw_long_desc,pw_suit,pw_job_roles,avg_salary,proj_growth,course1,course2,course3,,,Source1,Source2,Source3
FrontEnd Developer,Developer,,"A front end developer reads a design file and creates a plan to turn 
that design into valid HTML, CSS, and JavaScript code. A web browser 
then renders this code when you go to a site. HTML, CSS, and JavaScript 
are the three core languages used to build the front end of a website.","Front end web developers spend their days translating designs into code. They get to know the inner workings behind a site’s design. They then use this knowledge to build a functional and aesthetically pleasing experience.

For developers who enjoy creative work, front end web development could be an excellent career. Not only will you code other people’s designs but you’ll also have some say in the overall creative direction of a website.

If you are more interested in the “brains” behind a website, then back end or full stack web development may be for you. Whatever you choose, one thing is for sure—careers in web development all afford lucrative salaries, great career prospects, and unique responsibilities.",,,,,,,,,,,
BackEnd Developer,Developer,,"In short, the back end is all of the software that runs on the server, and it’s the backbone that makes the front end functional. While some sites, typically called static sites, only really have a front end, any site with dynamic content wouldn’t work without a back end supporting it.

They maintain core databases, manage application program interfaces (APIs), as well as test and debug back end processes to ensure that a program functions smoothly and effectively at all times.","If you are more interested in the “brains” behind a website, then back end development may be for you. You will spend your days building algorithms to make informed decisions, spend a lot of time on coding challenges and working with more complex programming languages.

You will also be involved with the behind-the-scenes architecture of the website, often working with different programming languages and frameworks dependent on the company.",,,,,,,,,,,
Fullstack Developer,Developer,"Builds, troubleshoots, and mantains software applications","A fullstack developer is an expert in both front end and back end development. That is, these devs have a keen understanding of both “stacks.” A software stack is simply a collection of different technologies that developers use to accomplish certain goals.

These developers can create the interactive elements of a website, the same way front end developers can. They can also develop websites and applications on the server-side, as well as work with databases.

Most fullstack developers specialise in either frontend or backend as they move from a junior role or internship to a mid-level role.","A good way to think of full-stack web developers is as a Swiss Army knife. They have a lot of varying skills. Full-stack web developers do not specialize in a particular language. They get to know all of the technologies behind a web application.

Full-stack web development is the glue between the front-end and the back-end. They help bridge the gap between client and server software to make a web application run as intended.

To be a good full-stack web developer, you need to have an  understanding of programming a browser, a back-end application, and a  database where data is stored.

Most full-stack developers are employed on mid-to-large teams. This  is because there is a greater need for people who focus all their time  on a particular topic. With that said, some smaller teams may have  full-stack web developers.

You can expect to use your full-stack web development skills in some  of your web projects. Say, for instance, you want to build a to-do list front-end app. You may decide to write a back-end app to store data.  Such a project involves working with the front-end, back-end, and a database.",,"Fr. 100,913",22%,,,,,,,,
Data Engineer,Data,,"Data engineers build data pipelines that transform raw, unstructured data into formats data scientists can use for analysis. They are responsible for creating and maintaining the analytics infrastructure that enables almost every other data function. This includes architectures such as databases, servers, and large-scale processing systems.

It starts with cleaning, organizing, and processing raw, unstructured data. Data pipelines refer to the design of systems for processing and storing data. These systems capture, cleanse, transform and route data to destination systems, taking raw data from a SaaS platform such as a CRM system or email marketing tool and storing it in a data warehouse so it can be analyzed using analytics and business intelligence tools.","The main reason to become a data engineer is because you are above all: a programmer.

They are software engineers who specialize in data and data technologies, connecting all the pieces of the data ecosystem within a company. 

That makes them quite different from data scientists (and data analysts), who certainly have programming skills, but who typically aren’t engineers. It’s not uncommon for data scientists to hand over their work (e.g., a recommendation system) to data engineers for actual implementation.

And while it’s data analysts and data scientists who are doing the analysis, it’s typically data engineers who are building the data pipelines and other systems necessary to make sure that everyone has easy access to the data they need (and that no one has access to the data who shouldn’t).",,,,,,,,,,,
Data Scientist,Data,,"Data scientists utilize their analytical, statistical, and programming skills to collect, analyze, and interpret large data sets. They then use this information to develop data-driven solutions to  business challenges.

A Data Scientist is a senior role and usually leads a team of Data Analysts and Engineers. They have a wide range of technical competencies including: statistics and machine learning, coding languages, databases, machine learning, and reporting technologies.

A data scientist possesses the background and skill set to perform statistical analysis to shape a data strategy. The data scientist may also build the algorithm that's fed into a ML/DL model, working with a Data Engineer to ensure that the pipeline is set up correctly.","A Data Scientist is the captain of the data team and has a strong understanding of all areas of data: programming, architecture, modelling, analysis. At the same time, they also have a good business brain and know how to deal with key stakeholders at a management level.

As a result, a Data Scientist has a senior role. They should have experience in programming, business and have worked with large data sets before.",,,,,,,,,,,
Data Analyst,Data,,"The Data Analyst's job is primarily to turn data into useful insight.

They have the knowledge and skills to turn raw data into information and insight, which can be used to make business decisions. They look for trends in data and need to have the business awareness to highlight what is meaningful.

All modern Data Analyst roles require a strong knowledge of SQL, as the primary task will be querying databases. Most will also require a good level of Python, as you will be working within a team of Data Engineer(s) and a Data Scientist who are responsible for ensuring the data pipeline is set up.","A Data Analyst is the best role for anyone finishing the Data Bootcamp without work experience in programming or a strong statistical background.

Unlike Data Engineers and Data Scientists, there are mostly entry-level or mid-level roles and a great place to start a career in data. The majority of alumni from data start here, before progressing into data engineering, machine learning or deep learning when within the company.

Disclaimer: there are many type of Data Analyst roles, dependent on the skills.",,,,,,,,,,,
Digital Consultant,Business Meets Tech,,"A consultant is a professional who helps businesses connect their business strategy to implementation across different digital fields. Digital consultants are required to assess the design assets and pick the right technological solutions for a given platform, as well as helping with building short- and long-term marketing strategies. They must discover new ways for businesses to engage with existing customers as well as attract new ones by evaluating the current marketing strategy.","Becoming a consultant is a great route for alumni who do not want to code every day.

The number one factor that draws alumni to become consultants is the diversity of work. As a consultant you will work on a range of projects, with a variety of colleagues and clients. You will gain experience across sectors, industries and even countries, as many consultancies also offer opportunities to travel.

You will have the opportunity to learn about other industries and deep-dive into businesses. Combining your experience in web development or data and a degree or work experience in business, many alumni land great roles, often in digital department of multinational consultancies (Accenture, BCG DV, Deloitte Digital to name but a few).

Disclaimer: there are a variety of consultants where our alumni land jobs (Data Consultants, Management Consultants, Digital Consultants). The most important thing to think about is where your knowledge and hard skills lie - this will dictate you to which job roles you should look out for.",,,,,,,,,,,
Solutions Engineer,Business Meets Tech,,"A Solutions Engineer interfaces with customers and identifies their needs.

They work closely with sales, customers, development, marketing, design, product teams to deliver great solutions to the customer. There is a constant feedback loop between customers and future development of a product and a good SE needs to be on top of all that.

A solutions engineer will help all teams to be successful in order to deliver the right product to the right customer. At times, they should be able to jump in and help all teams, whether it is to develop a new feature, help with the support of new or existing customers, suggest UI improvements and prioritize the roadmap ahead.","A Solutions Engineer is a perfect role for someone who wants to think like a Software Engineer and work with developers, but wants to retain some business development aspect in their role.

Dependent on the company and the hierarchy, a Solutions Engineer may code or not. If there is less coding in the job, it is likely that it is more focused on Sales and interacting with the client, while leading a team of engineers to build the solution itself.

It is similar role to a technical Consultant. Both are working directly with clients, analysing their primary problems and trying to think of a technological solution.

The difference is that a Solutions Engineer is primarily trying to build a customised product and make a sale. A Consultant meanwhile is advising a client and billing by the hour, day or project.",,,,,,,,,,,
Growth Marketer,Business Meets Tech,,"A Growth Manager is responsible for revenue and business growth, particularly with new markets or products.

They are responsible for identifying a company’s growth opportunities and managing its team’s effort to fill in these opportunity gaps. The growth manager sets goals and leads the efforts to reach these goals.

The role of growth manager was borne out of the need for someone to be solely responsible for growth – a leader who can focus exclusively on it without being distracted by the myriad of other business concerns faced by those at the top.","A Growth Manager is someone who loves business development and marketing and wants to integrate more technology and analytics into their everyday role.

They may code a bit - for instance web scraping and working with APIs. But like a PM, the role is primarily collaborative and managerial. They work in a cross-functional team wutg all parts of a business: Sales, Marketing, Product, Design and Engineering.

A Growth Manager must be creative, resourceful and a good knowledge of tools and technologies. Often, they are the pioneers of a business: testing new ideas to drive the growth of a business. They are masters of A/B testing and lean methodology

However, it should not be confused with that of the Product Manager, who guides the development and growth of a product, but not of the entire organisation. A Growth Manager's primary metric is about customer acquisition and revenue, rather than users and engagement (although the two often overlap).",,,,,,,,,,,
Product Manager,Business Meets Tech,"Product management is about empathizing with users, identifying opportunities, and collaborating with others.","A Product Manager is quite simply the overseer of a company's product and how it develops.

They work at the intersection of business, tech and design, managing stakeholders from Sales/Marketing, Design and Engineering teams. Its primary metric of success is gauged around users and engagement.

A Product Manager is responsible for the product planning and execution throughout the Product Lifecycle, including: gathering and prioritizing product and customer requirements, defining the product vision, and working closely with engineering, sales, marketing and support to ensure revenue and customer satisfaction goals are met. The Product Manager also ensures that the product supports the company’s overall strategy and goals.","A Product Manager (PM) is a jack-of-all-trades role that requires someone to speak the language good of business, design and engineering. 

It is a management role with little executional work directly impacting the product. Most PMs do not code, dictate business growth or create brand and design. Instead, they are the magician that brings together all three parts of the business into a useable and effective product.

Two key characteristics of a PM are: creativity and user-centricity. They should be creative in thinking of solutions as well as obsessed with quantitative and qualitative feedback from users.

Many PMs go on to become founders in the long run. It is actually the best entrance route to becoming a founder of a startup, as you then start to have real empathy with the user.","Associate Product Manager, Product Manager, Senior Product Manager, VP of Product, Chief of Product","Fr. 110,916",32%,https://www.coursera.org/specializations/real-world-product-management,,,,,https://theproductmanager.com/general/statistics-career-product-management/,https://www.linkedin.com/pulse/future-product-management-report-2022-glance-matt-best/,
